,Tweets,Dates,Tweet without StopWords,Subjectivity,Polarity,Label
0,[Webinar] Mandatory or Optional? An Employers Guide to the COVID-19 Vaccine - January 13th 100 pm - 230 pm EST… ,12/14/2020,[webinar] mandatory optional? employers guide covid-19 vaccine - january 13th 100 pm - 230 pm est…,0,0,Neutral
1, Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an informational f…,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts informational f…,0,0,Neutral
2,"  _sup @_saint_official Eng TransTrans by sisi
Meet Saint_sup in the Thai people vaccine grand chari…",12/14/2020,_sup @_saint_official eng transtrans sisi meet saint_sup thai people vaccine grand chari…,1,0.5,Positive
3, Today I spoke to Dr. Lorish Chief Executive for Providence in the Southern Oregon Service Area about their rollout plan…,12/14/2020,today spoke dr. lorish chief executive providence southern oregon service area rollout plan…,0,0,Neutral
4,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
5,Trump admin pushing delay in nursing home vaccinations.They r saying it is due to consent issues. Most nursing home… ,12/14/2020,trump admin pushing delay nursing home vaccinations.they r saying due consent issues. nursing home…,0.4375,0.1875,Positive
6, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
7,You could tell me “hey Dustin go get the vaccine at 200 am” and you betcha your ass I’d be in line at 200 AM with… ,12/14/2020,could tell “hey dustin go get vaccine 200 am” betcha ass i’d line 200 with…,0,0,Neutral
8," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
9, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
10,"  _sup @_saint_official Eng TransTrans by sisi
Meet Saint_sup in the Thai people vaccine grand chari…",12/14/2020,_sup @_saint_official eng transtrans sisi meet saint_sup thai people vaccine grand chari…,1,0.5,Positive
11,First care home resident receives vaccine  via ,12/14/2020,first care home resident receives vaccine via,0.333333333,0.25,Positive
12," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
13,"  _sup @_saint_official Eng TransTrans by sisi
Meet Saint_sup in the Thai people vaccine grand chari…",12/14/2020,_sup @_saint_official eng transtrans sisi meet saint_sup thai people vaccine grand chari…,1,0.5,Positive
14," COVID-19 Update The first doses of Pfizer’s COVID-19 vaccine are set to reach health-care facilities today!

",12/14/2020,covid-19 update first doses pfizer’s covid-19 vaccine set reach health-care facilities today!,0.333333333,0.3125,Positive
15, A critical care nurse was one of the first in New York to be vaccinated during a livestreamed event with New York Gov. Andrew Cuom…,12/14/2020,critical care nurse one first new york vaccinated livestreamed event new york gov. andrew cuom…,0.510606061,0.130681818,Positive
16," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
17, Calling all researchers looking for tips &amp; advice on how to engage in conversations about COVID19 vaccines with the publi…,12/14/2020,calling researchers looking tips &amp; advice engage conversations covid19 vaccines publi…,0,0,Neutral
18," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
19,"   Private business created the vaccine for profit.
Not govt not tRUMP
trump did say th…",12/14/2020,private business created vaccine profit. govt trump trump say th…,0.375,0,Neutral
20,"  Private business created the vaccine for profit.
Not govt not tRUMP
trump did say… ",12/14/2020,private business created vaccine profit. govt trump trump say…,0.375,0,Neutral
21," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
22," COVID19 vaccine conversations effective ways of engaging with the public

💡 New webinar for researchers to build skills…",12/14/2020,covid19 vaccine conversations effective ways engaging public 💡 new webinar researchers build skills…,0.50530303,0.284090909,Positive
23," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
24,"Johns Hopkins University announces a ""staggering"" and updated COVID-19 death toll. Local numbers and new informatio… ",12/14/2020,"johns hopkins university announces ""staggering"" updated covid-19 death toll. local numbers new informatio…",0.227272727,0.068181818,Positive
25,People with those super bright weird ass blue headlights... you get the vaccine last.,12/14/2020,people super bright weird ass blue headlights... get vaccine last.,0.526666667,0.106666667,Positive
26,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
27," Pharmacies will help roll out the coronavirus vaccine but one doctor warns of ""chaos"" ",12/14/2020,"pharmacies help roll coronavirus vaccine one doctor warns ""chaos""",0,0,Neutral
28, “Convo w/ a Covid vaccine trial participant   a scientist ” with _data_kane and . Today Dec 14 at 200 PM PST on…,12/14/2020,“convo w/ covid vaccine trial participant scientist ” _data_kane . today dec 14 200 pm pst on…,0,0,Neutral
29,_data_kane I'm discussing “Convo w/ a Covid vaccine trial participant   a scientist ” with . Today Dec 14 at 500 PM EST on…,12/14/2020,_data_kane i'm discussing “convo w/ covid vaccine trial participant scientist ” . today dec 14 500 pm est on…,0,0,Neutral
30,          @…,12/14/2020,@…,0,0,Neutral
31, The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
32, How y’all scared of the vaccine but not scared of Covid 🤨,12/14/2020,y’all scared vaccine scared covid 🤨,0,0,Neutral
33,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
34," The collective trauma in Puerto Rico has led to massive skepticism about access to the COVID vaccine. 

People are afrai…",12/14/2020,collective trauma puerto rico led massive skepticism access covid vaccine. people afrai…,1,0,Neutral
35,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says… ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says…,0.259722222,0.086111111,Positive
